종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"015230","대창단조","KOSPI","운송장비·부품","6350","-120","-1.85","181433660500"
"001070","대한방직","KOSPI","섬유·의류","6450","-170","-2.57","34185000000"
"006650","대한유화","KOSPI","화학","148700","2900","1.99","966550000000"
"001440","대한전선","KOSPI","전기·전자","22700","-650","-2.78","4232353710000"
"084010","대한제강","KOSPI","금속","20800","1100","5.58","476619457600"
"001790","대한제당","KOSPI","음식료·담배","2980","-10","-0.33","267295808400"
"001795","대한제당우","KOSPI","음식료·담배","2670","-10","-0.37","17308969200"
"001130","대한제분","KOSPI","음식료·담배","152700","-500","-0.33","258063000000"
"439260","대한조선","KOSPI","운송장비·부품","72700","-1900","-2.55","2800862882400"
"003490","대한항공","KOSPI","운송·창고","22650","-300","-1.31","8340197971650"
"003495","대한항공우","KOSPI","운송·창고","24350","-100","-0.41","27047833900"
"005880","대한해운","KOSPI","운송·창고","1791","-28","-1.54","578040485940"
"003830","대한화섬","KOSPI","화학","118600","-1500","-1.25","157500800000"
"016090","대현","KOSPI","섬유·의류","1757","-9","-0.51","77804018670"
"069460","대호에이엘","KOSPI","금속","1460","-1","-0.07","127125049920"
"475560","더본코리아","KOSPI","유통","24650","-300","-1.20","364244176000"
"192080","더블유게임즈","KOSPI","IT 서비스","55000","-100","-0.18","1182274830000"
"012510","더존비즈온","KOSPI","IT 서비스","84400","500","0.60","2564306969600"
"004830","덕성","KOSPI","화학","4955","-75","-1.49","77694400000"
"004835","덕성우","KOSPI","화학","7420","-150","-1.98","10328640000"
"145720","덴티움","KOSPI","의료·정밀기기","45500","-1050","-2.26","503631765000"
"002150","도화엔지니어링","KOSPI","일반서비스","6430","-30","-0.46","216819600000"
"460850","동국씨엠","KOSPI","금속","5410","-30","-0.55","161751728960"
"460860","동국제강","KOSPI","금속","8650","30","0.35","429109347050"
"001230","동국홀딩스","KOSPI","기타금융","7600","-30","-0.39","241683670800"
"023450","동남합성","KOSPI","화학","33900","300","0.89","118650000000"
"004140","동방","KOSPI","운송·창고","2650","-100","-3.64","127125179900"
"007590","동방아그로","KOSPI","화학","6070","-110","-1.78","82658692390"
"005960","동부건설","KOSPI","건설","5780","-20","-0.34","132631712140"
"005965","동부건설우","KOSPI","건설","25700","-2300","-8.21","5801312400"
"026960","동서","KOSPI","유통","29200","350","1.21","2911240000000"
"002210","동성제약","KOSPI","제약","973","0","0.00","25900780311"
"102260","동성케미컬","KOSPI","화학","4510","0","0.00","226297327410"
"000640","동아쏘시오홀딩스","KOSPI","기타금융","114800","-800","-0.69","750382623200"
"170900","동아에스티","KOSPI","제약","54000","-1300","-2.35","505043154000"
"028100","동아지질","KOSPI","건설","17070","-450","-2.57","228558799140"
"001520","동양","KOSPI","비금속","831","-12","-1.42","198346456353"
"001527","동양2우B","KOSPI","비금속","8740","-310","-3.43","2696893060"
"084670","동양고속","KOSPI","운송·창고","88600","6700","8.18","256547413400"
"082640","동양생명","KOSPI","보험","6630","-40","-0.60","1069807418550"
"001525","동양우","KOSPI","비금속","5600","-730","-11.53","3459293600"
"018500","동원금속","KOSPI","운송장비·부품","1354","-28","-2.03","63306179282"
"006040","동원산업","KOSPI","기타금융","43000","-650","-1.49","1898363398000"
"030720","동원수산","KOSPI","농업, 임업 및 어업","6130","30","0.49","28527824650"
"014820","동원시스템즈","KOSPI","화학","25950","-500","-1.89","752323767900"
"014825","동원시스템즈우","KOSPI","화학","18210","-340","-1.83","4809461310"
"111380","동인기연","KOSPI","섬유·의류","13910","10","0.07","85240480000"
"163560","동일고무벨트","KOSPI","화학","6900","-30","-0.43","95910000000"
"004890","동일산업","KOSPI","금속","39350","-100","-0.25","95432210250"
"002690","동일제강","KOSPI","금속","1636","-1","-0.06","33211388960"
"000020","동화약품","KOSPI","제약","6410","10","0.16","179040722700"
"000150","두산","KOSPI","기타금융","780000","-13000","-1.64","12631191300000"
"000157","두산2우B","KOSPI","기타금융","424000","-12500","-2.86","378648112000"
"454910","두산로보틱스","KOSPI","기계·장비","82800","500","0.61","5367094344000"
"241560","두산밥캣","KOSPI","기계·장비","58000","-1600","-2.68","5559651770000"
"034020","두산에너빌리티","KOSPI","기계·장비","77600","-400","-0.51","49707544929600"
"000155","두산우","KOSPI","기타금융","487000","-17000","-3.37","1946276994000"
"336260","두산퓨얼셀","KOSPI","전기·전자","30600","-250","-0.81","2004108015600"
"33626K","두산퓨얼셀1우","KOSPI","전기·전자","7350","-100","-1.34","98226870000"
"33626L","두산퓨얼셀2우B","KOSPI","전기·전자","10650","-80","-0.75","31804095000"
"016740","두올","KOSPI","운송장비·부품","3770","-60","-1.57","108101070480"
